order_id,order_date,customer_id,product_id,campaign_id,channel,region,quantity,unit_price,discount_pct,gross_amount,discount_amount,net_revenue,status,is_return
O00096,2026-01-16,C0004,P001,CAM005,Marketplace,Mumbai,2,15417,5,30834,1541.7,29292.3,Completed,False
O00097,2026-05-18,C0094,P012,CAM005,Marketplace,Chennai,4,6427,15,25708,3856.2,21851.8,Completed,False
O00098,2026-03-17,C0096,P016,CAM007,Website,Hyderabad,2,2266,10,4532,453.2,4078.8,Completed,False
O00099,2026-05-23,C0074,P019,CAM001,Social,Delhi,3,11522,0,34566,0.0,34566.0,Completed,False
O00100,2026-01-08,C0011,P007,CAM003,Website,Chennai,1,7276,0,7276,0.0,7276.0,Completed,False
O00101,2026-02-02,C0030,P018,CAM009,Social,Bengaluru,3,11704,15,35112,5266.8,29845.2,Completed,False
O00102,2026-03-31,C0005,P018,CAM010,Marketplace,Mumbai,1,9686,0,9686,0.0,9686.0,Completed,False
O00103,2026-02-04,C0006,P020,CAM010,Mobile App,Hyderabad,1,9015,5,9015,450.75,8564.25,Completed,False
O00104,2026-03-01,C0025,P008,CAM004,Website,Mumbai,2,7276,10,14552,1455.2,-13096.8,Returned,True
O00105,2026-04-30,C0058,P018,CAM002,Website,Delhi,2,9072,5,18144,907.2,17236.8,Completed,False
O00106,2026-01-27,C0007,P012,CAM002,Marketplace,Chennai,3,7276,0,21828,0.0,21828.0,Completed,False
O00107,2026-05-03,C0099,P002,CAM002,Mobile App,Mumbai,2,7276,15,14552,2182.8,12369.2,Completed,False
O00108,2026-01-19,C0046,P006,CAM010,Social,Delhi,1,12255,15,12255,1838.25,10416.75,Completed,False
O00109,2026-02-01,C0027,P014,CAM009,Website,Mumbai,2,11522,15,23044,3456.6,19587.4,Completed,False
O00110,2026-04-17,C0052,P004,CAM009,Social,Mumbai,2,2266,20,4532,906.4,3625.6,Completed,False
O00111,2026-05-24,C0080,P009,CAM008,Social,Chennai,3,11524,0,34572,0.0,34572.0,Completed,False
O00112,2026-01-31,C0032,P016,CAM004,Website,Delhi,3,2266,10,6798,679.8,-6118.2,Returned,True
O00113,2026-02-24,C0005,P003,CAM005,Marketplace,Hyderabad,1,2266,5,2266,113.3,2152.7,Completed,False
O00114,2026-06-17,C0006,P010,CAM009,Social,Delhi,3,2266,20,6798,1359.6,-5438.4,Returned,True
O00115,2026-06-29,C0086,P005,CAM009,Mobile App,Delhi,3,11524,10,34572,3457.2,31114.8,Completed,False
O00116,2026-04-16,C0012,P011,CAM006,Website,Delhi,4,11404,0,45616,0.0,45616.0,Completed,False
O00117,2026-03-22,C0064,P005,CAM009,Social,Mumbai,3,11524,15,34572,5185.8,29386.2,Completed,False
O00118,2026-03-04,C0039,P020,CAM004,Mobile App,Mumbai,4,9072,0,36288,0.0,36288.0,Completed,False
O00119,2026-04-21,C0078,P002,CAM005,Website,Chennai,1,9072,5,9072,453.6,-8618.4,Returned,True
O00120,2026-04-17,C0007,P020,CAM009,Social,Delhi,3,9015,15,27045,4056.75,22988.25,Completed,False
O00121,2026-02-23,C0090,P016,CAM004,Marketplace,Delhi,1,7276,10,7276,727.6,6548.4,Completed,False
O00122,2026-01-05,C0070,P018,CAM008,Website,Bengaluru,1,11294,15,11294,1694.1,-9599.9,Returned,True
O00123,2026-01-28,C0045,P018,CAM005,Mobile App,Delhi,4,9686,10,38744,3874.4,34869.6,Completed,False
O00124,2026-06-23,C0021,P004,CAM003,Website,Mumbai,2,6427,20,12854,2570.8,10283.2,Completed,False
O00125,2026-03-17,C0098,P019,CAM003,Social,Hyderabad,3,13261,10,39783,3978.3,35804.7,Completed,False
O00126,2026-03-29,C0031,P012,CAM007,Website,Delhi,3,15417,0,46251,0.0,46251.0,Completed,False
O00127,2026-03-26,C0050,P020,CAM005,Social,Hyderabad,3,2044,0,6132,0.0,-6132.0,Returned,True
O00128,2026-05-22,C0040,P018,CAM004,Marketplace,Delhi,1,9072,15,9072,1360.8,7711.2,Completed,False
O00129,2026-01-12,C0024,P012,CAM008,Marketplace,Chennai,1,12255,0,12255,0.0,12255.0,Completed,False
O00130,2026-01-15,C0042,P008,CAM001,Social,Bengaluru,1,11524,5,11524,576.2,10947.8,Completed,False
O00131,2026-02-19,C0016,P003,CAM001,Social,Mumbai,4,2044,0,8176,0.0,8176.0,Completed,False
O00132,2026-03-30,C0001,P003,CAM010,Website,Hyderabad,1,11524,5,11524,576.2,10947.8,Completed,False
O00133,2026-05-02,C0029,P008,CAM007,Website,Mumbai,3,9072,10,27216,2721.6,24494.4,Completed,False
O00134,2026-03-30,C0012,P017,CAM006,Website,Bengaluru,2,11704,0,23408,0.0,23408.0,Completed,False
O00135,2026-03-21,C0042,P011,CAM001,Marketplace,Mumbai,1,11524,10,11524,1152.4,10371.6,Completed,False
O00136,2026-06-19,C0087,P010,CAM006,Marketplace,Chennai,2,2044,20,4088,817.6,3270.4,Completed,False
O00137,2026-01-30,C0017,P005,CAM005,Website,Delhi,1,12255,0,12255,0.0,12255.0,Completed,False
O00138,2026-04-14,C0001,P012,CAM006,Website,Hyderabad,1,17174,0,17174,0.0,17174.0,Completed,False
O00139,2026-04-09,C0012,P013,CAM001,Marketplace,Hyderabad,1,13261,5,13261,663.05,12597.95,Completed,False
O00140,2026-03-27,C0051,P020,CAM006,Marketplace,Chennai,4,11524,20,46096,9219.2,36876.8,Completed,False
O00141,2026-05-27,C0028,P015,CAM006,Mobile App,Chennai,3,1100,10,3300,330.0,2970.0,Completed,False
O00142,2026-02-18,C0049,P013,CAM003,Social,Hyderabad,4,15417,15,61668,9250.2,52417.8,Completed,False
O00143,2026-06-22,C0003,P019,CAM001,Social,Bengaluru,2,9072,0,18144,0.0,18144.0,Completed,False
O00144,2026-03-02,C0034,P009,CAM010,Social,Chennai,1,9015,15,9015,1352.25,7662.75,Completed,False
O00145,2026-04-09,C0042,P019,CAM008,Mobile App,Chennai,3,11704,0,35112,0.0,35112.0,Completed,False
O00146,2026-04-05,C0044,P008,CAM007,Social,Delhi,4,9686,15,38744,5811.6,32932.4,Completed,False
O00147,2026-06-03,C0056,P003,CAM008,Marketplace,Hyderabad,3,2266,0,6798,0.0,6798.0,Completed,False
O00148,2026-03-21,C0079,P009,CAM007,Marketplace,Delhi,1,2044,20,2044,408.8,1635.2,Completed,False
O00149,2026-02-21,C0047,P003,CAM002,Mobile App,Delhi,2,7276,5,14552,727.6,13824.4,Completed,False
O00150,2026-01-04,C0085,P003,CAM005,Social,Delhi,4,11522,0,46088,0.0,46088.0,Completed,False
O00151,2026-03-07,C0053,P018,CAM009,Marketplace,Chennai,3,11294,5,33882,1694.1,32187.9,Completed,False
O00152,2026-05-30,C0027,P016,CAM003,Website,Mumbai,4,11524,0,46096,0.0,46096.0,Completed,False
O00153,2026-01-02,C0023,P005,CAM010,Social,Mumbai,3,17174,0,51522,0.0,51522.0,Completed,False
O00154,2026-06-12,C0033,P017,CAM001,Website,Delhi,1,12877,10,12877,1287.7,11589.3,Completed,False
O00155,2026-04-09,C0060,P002,CAM004,Marketplace,Delhi,4,13261,5,53044,2652.2,50391.8,Completed,False
O00156,2026-01-26,C0025,P006,CAM004,Marketplace,Mumbai,4,2266,5,9064,453.2,8610.8,Completed,False
O00157,2026-02-24,C0092,P015,CAM007,Marketplace,Hyderabad,3,6427,20,19281,3856.2,15424.8,Completed,False
O00158,2026-04-11,C0048,P007,CAM002,Website,Hyderabad,4,9015,0,36060,0.0,36060.0,Completed,False
O00159,2026-02-27,C0087,P015,CAM003,Mobile App,Delhi,1,2044,5,2044,102.2,1941.8,Completed,False
O00160,2026-01-20,C0069,P018,CAM007,Social,Mumbai,4,11522,0,46088,0.0,46088.0,Completed,False
O00161,2026-05-01,C0034,P002,CAM003,Website,Hyderabad,1,11524,10,11524,1152.4,10371.6,Completed,False
O00162,2026-05-02,C0023,P001,CAM009,Marketplace,Mumbai,4,11404,5,45616,2280.8,43335.2,Completed,False
O00163,2026-01-22,C0075,P019,CAM009,Social,Chennai,1,9015,0,9015,0.0,9015.0,Completed,False
O00164,2026-02-20,C0034,P011,CAM004,Social,Hyderabad,3,9072,0,27216,0.0,27216.0,Completed,False
O00165,2026-02-14,C0025,P011,CAM006,Marketplace,Chennai,4,17174,20,68696,13739.2,54956.8,Completed,False
O00166,2026-04-30,C0094,P010,CAM004,Mobile App,Mumbai,1,11522,0,11522,0.0,11522.0,Completed,False
O00167,2026-05-13,C0049,P009,CAM004,Marketplace,Bengaluru,1,11522,15,11522,1728.3,9793.7,Completed,False
O00168,2026-05-12,C0005,P014,CAM007,Mobile App,Mumbai,4,12877,20,51508,10301.6,-41206.4,Returned,True
O00169,2026-06-19,C0050,P012,CAM003,Marketplace,Delhi,1,1100,10,1100,110.0,990.0,Completed,False
O00170,2026-05-20,C0047,P004,CAM002,Marketplace,Delhi,3,9072,5,27216,1360.8,25855.2,Completed,False
O00171,2026-02-28,C0087,P013,CAM003,Marketplace,Mumbai,4,12255,15,49020,7353.0,41667.0,Completed,False
O00172,2026-01-20,C0072,P014,CAM010,Website,Bengaluru,3,2266,20,6798,1359.6,-5438.4,Returned,True
O00173,2026-04-22,C0020,P003,CAM003,Social,Delhi,2,2266,0,4532,0.0,4532.0,Completed,False
O00174,2026-06-15,C0016,P008,CAM004,Marketplace,Bengaluru,2,11404,20,22808,4561.6,18246.4,Completed,False
O00175,2026-06-26,C0061,P016,CAM007,Social,Bengaluru,3,13261,20,39783,7956.6,31826.4,Completed,False
O00176,2026-02-11,C0005,P013,CAM002,Marketplace,Chennai,3,16000,0,48000,0.0,48000.0,Completed,False
O00177,2026-02-12,C0032,P003,CAM003,Social,Chennai,3,17174,0,51522,0.0,51522.0,Completed,False
O00178,2026-01-07,C0014,P001,CAM002,Social,Mumbai,1,11524,15,11524,1728.6,9795.4,Completed,False
O00179,2026-01-26,C0003,P012,CAM010,Social,Mumbai,3,11404,0,34212,0.0,34212.0,Completed,False
O00180,2026-04-11,C0092,P010,CAM010,Marketplace,Mumbai,3,2266,15,6798,1019.7,5778.3,Completed,False
O00181,2026-04-09,C0009,P020,CAM008,Marketplace,Mumbai,3,2044,0,6132,0.0,6132.0,Completed,False
O00182,2026-03-09,C0001,P011,CAM003,Website,Bengaluru,1,15417,15,15417,2312.55,13104.45,Completed,False
O00183,2026-02-26,C0094,P019,CAM007,Mobile App,Bengaluru,3,12877,5,38631,1931.55,36699.45,Completed,False
O00184,2026-05-31,C0019,P005,CAM007,Mobile App,Mumbai,3,9072,0,27216,0.0,27216.0,Completed,False
O00185,2026-03-25,C0082,P009,CAM009,Social,Bengaluru,1,16000,0,16000,0.0,16000.0,Completed,False
O00186,2026-05-27,C0004,P003,CAM002,Marketplace,Mumbai,4,13533,0,54132,0.0,54132.0,Completed,False
O00187,2026-06-24,C0016,P012,CAM008,Mobile App,Chennai,3,12877,10,38631,3863.1,34767.9,Completed,False
O00188,2026-02-27,C0012,P004,CAM002,Website,Bengaluru,2,11404,0,22808,0.0,22808.0,Completed,False
O00189,2026-02-06,C0071,P010,CAM006,Marketplace,Delhi,3,13533,20,40599,8119.8,32479.2,Completed,False
O00190,2026-06-22,C0063,P007,CAM009,Mobile App,Delhi,3,9015,15,27045,4056.75,22988.25,Completed,False
O00191,2026-04-25,C0048,P004,CAM001,Website,Chennai,3,15417,5,46251,2312.55,43938.45,Completed,False
O00192,2026-02-22,C0025,P002,CAM002,Mobile App,Delhi,2,9072,20,18144,3628.8,-14515.2,Returned,True
O00193,2026-04-23,C0009,P011,CAM009,Social,Hyderabad,4,11404,15,45616,6842.4,38773.6,Completed,False
O00194,2026-04-04,C0057,P019,CAM001,Website,Bengaluru,4,11294,15,45176,6776.4,-38399.6,Returned,True
O00195,2026-06-13,C0024,P004,CAM007,Mobile App,Bengaluru,1,2266,0,2266,0.0,2266.0,Completed,False
O00196,2026-02-16,C0060,P009,CAM006,Marketplace,Mumbai,3,6427,15,19281,2892.15,16388.85,Completed,False
O00197,2026-06-29,C0069,P005,CAM004,Website,Delhi,1,12877,10,12877,1287.7,11589.3,Completed,False
O00198,2026-06-19,C0085,P017,CAM009,Website,Hyderabad,2,12255,20,24510,4902.0,19608.0,Completed,False
O00199,2026-02-02,C0050,P009,CAM009,Social,Hyderabad,4,15417,10,61668,6166.8,55501.2,Completed,False
O00200,2026-01-30,C0001,P020,CAM004,Marketplace,Chennai,1,11524,15,11524,1728.6,9795.4,Completed,False
O00201,2026-04-07,C0029,P005,CAM001,Website,Chennai,2,9686,5,19372,968.6,18403.4,Completed,False
O00202,2026-01-09,C0086,P002,CAM002,Website,Chennai,1,2266,0,2266,0.0,2266.0,Completed,False
O00203,2026-02-24,C0054,P012,CAM002,Mobile App,Bengaluru,3,11522,0,34566,0.0,34566.0,Completed,False
O00204,2026-03-20,C0062,P014,CAM010,Marketplace,Chennai,2,11404,20,22808,4561.6,18246.4,Completed,False
O00205,2026-06-25,C0046,P020,CAM006,Marketplace,Chennai,3,12255,15,36765,5514.75,31250.25,Completed,False
O00206,2026-06-29,C0017,P018,CAM007,Website,Mumbai,4,1100,5,4400,220.0,4180.0,Completed,False
O00207,2026-01-28,C0090,P018,CAM003,Marketplace,Delhi,3,7276,15,21828,3274.2,18553.8,Completed,False
O00208,2026-06-11,C0078,P013,CAM009,Social,Hyderabad,3,13261,0,39783,0.0,39783.0,Completed,False
O00209,2026-01-17,C0100,P008,CAM008,Website,Mumbai,1,13261,0,13261,0.0,13261.0,Completed,False
O00210,2026-05-16,C0086,P009,CAM008,Website,Hyderabad,1,7276,10,7276,727.6,-6548.4,Returned,True
O00211,2026-06-03,C0030,P003,CAM005,Social,Bengaluru,4,15417,15,61668,9250.2,52417.8,Completed,False
O00212,2026-06-11,C0026,P009,CAM007,Marketplace,Hyderabad,4,9072,20,36288,7257.6,29030.4,Completed,False
O00213,2026-02-10,C0025,P008,CAM006,Social,Delhi,3,11522,15,34566,5184.9,29381.1,Completed,False
O00214,2026-06-11,C0092,P001,CAM004,Mobile App,Mumbai,2,12255,5,24510,1225.5,23284.5,Completed,False
O00215,2026-01-21,C0056,P005,CAM006,Mobile App,Delhi,1,15417,20,15417,3083.4,12333.6,Completed,False
O00216,2026-04-04,C0046,P011,CAM004,Website,Mumbai,4,13533,10,54132,5413.2,-48718.8,Returned,True
O00217,2026-03-26,C0097,P008,CAM010,Website,Delhi,4,16000,20,64000,12800.0,51200.0,Completed,False
O00218,2026-02-27,C0061,P020,CAM008,Mobile App,Bengaluru,1,9686,0,9686,0.0,9686.0,Completed,False
O00219,2026-01-05,C0091,P010,CAM008,Website,Mumbai,3,15417,0,46251,0.0,46251.0,Completed,False
O00220,2026-05-20,C0099,P020,CAM008,Social,Mumbai,3,9072,0,27216,0.0,27216.0,Completed,False
O00221,2026-03-02,C0008,P014,CAM005,Marketplace,Bengaluru,2,2266,20,4532,906.4,3625.6,Completed,False
O00222,2026-04-30,C0037,P001,CAM010,Social,Mumbai,4,11704,0,46816,0.0,-46816.0,Returned,True
O00223,2026-03-16,C0074,P005,CAM003,Marketplace,Delhi,1,1100,20,1100,220.0,880.0,Completed,False
O00224,2026-03-09,C0082,P015,CAM006,Mobile App,Delhi,2,2044,15,4088,613.2,-3474.8,Returned,True
O00225,2026-06-10,C0015,P011,CAM001,Marketplace,Chennai,1,17174,0,17174,0.0,17174.0,Completed,False
O00226,2026-01-18,C0032,P007,CAM003,Website,Bengaluru,3,9686,20,29058,5811.6,23246.4,Completed,False
O00227,2026-05-14,C0055,P011,CAM006,Social,Mumbai,3,17174,0,51522,0.0,-51522.0,Returned,True
O00228,2026-05-16,C0080,P019,CAM005,Marketplace,Hyderabad,4,12877,0,51508,0.0,51508.0,Completed,False
O00229,2026-03-10,C0012,P008,CAM010,Website,Mumbai,3,13533,10,40599,4059.9,36539.1,Completed,False
O00230,2026-02-17,C0061,P001,CAM007,Marketplace,Bengaluru,1,11704,5,11704,585.2,11118.8,Completed,False
O00231,2026-01-01,C0030,P007,CAM005,Marketplace,Chennai,2,1100,5,2200,110.0,2090.0,Completed,False
O00232,2026-06-19,C0022,P019,CAM005,Website,Bengaluru,1,6427,0,6427,0.0,6427.0,Completed,False
O00233,2026-06-21,C0052,P016,CAM007,Website,Mumbai,3,2266,15,6798,1019.7,5778.3,Completed,False
O00234,2026-02-13,C0042,P017,CAM008,Social,Hyderabad,3,1100,0,3300,0.0,3300.0,Completed,False
O00235,2026-01-06,C0064,P019,CAM003,Mobile App,Mumbai,4,6427,5,25708,1285.4,24422.6,Completed,False
