session_id,session_date,customer_id,channel,sessions,conversions
S00051,2026-04-07,C0035,Website,1,0
S00052,2026-04-11,C0100,Social,1,1
S00053,2026-05-16,C0084,Website,1,0
S00054,2026-02-05,C0038,Social,1,1
S00055,2026-04-10,C0058,Website,1,0
S00056,2026-06-02,C0071,Marketplace,1,1
S00057,2026-02-18,C0047,Mobile App,1,0
S00058,2026-06-01,C0041,Marketplace,1,0
S00059,2026-05-11,C0033,Mobile App,1,0
S00060,2026-03-19,C0014,Social,1,0
S00061,2026-06-09,C0003,Website,1,0
S00062,2026-06-24,C0034,Social,1,1
S00063,2026-02-12,C0080,Marketplace,1,0
S00064,2026-06-27,C0024,Social,1,0
S00065,2026-01-01,C0018,Website,1,1
S00066,2026-01-24,C0033,Website,1,0
S00067,2026-01-08,C0060,Mobile App,1,0
S00068,2026-03-08,C0022,Mobile App,1,1
S00069,2026-06-19,C0023,Social,1,0
S00070,2026-04-19,C0012,Social,1,0
S00071,2026-04-22,C0034,Mobile App,1,1
S00072,2026-01-16,C0022,Social,1,0
S00073,2026-04-04,C0084,Website,1,0
S00074,2026-03-11,C0091,Marketplace,1,1
S00075,2026-03-28,C0038,Website,1,0
S00076,2026-02-17,C0009,Marketplace,1,0
S00077,2026-02-06,C0009,Mobile App,1,0
S00078,2026-06-22,C0033,Mobile App,1,0
S00079,2026-04-12,C0047,Mobile App,1,0
S00080,2026-03-16,C0053,Mobile App,1,0
S00081,2026-01-14,C0031,Social,1,1
S00082,2026-05-19,C0036,Social,1,1
S00083,2026-03-27,C0029,Mobile App,1,1
S00084,2026-03-11,C0052,Mobile App,1,0
S00085,2026-05-01,C0070,Marketplace,1,0
S00086,2026-01-24,C0005,Marketplace,1,1
S00087,2026-04-07,C0048,Website,1,0
S00088,2026-06-06,C0065,Marketplace,1,0
S00089,2026-03-25,C0068,Social,1,0
S00090,2026-01-01,C0057,Social,1,0
S00091,2026-02-11,C0053,Marketplace,1,0
S00092,2026-01-11,C0069,Mobile App,1,0
S00093,2026-04-01,C0038,Mobile App,1,0
S00094,2026-03-07,C0057,Marketplace,1,0
S00095,2026-01-24,C0032,Mobile App,1,0
S00096,2026-05-05,C0044,Website,1,0
S00097,2026-02-01,C0013,Marketplace,1,1
S00098,2026-03-03,C0036,Website,1,0
S00099,2026-06-28,C0015,Social,1,0
S00100,2026-01-13,C0023,Mobile App,1,0
S00101,2026-02-14,C0042,Mobile App,1,0
S00102,2026-02-27,C0051,Website,1,0
S00103,2026-04-03,C0095,Website,1,0
S00104,2026-02-14,C0003,Social,1,0
S00105,2026-06-25,C0090,Marketplace,1,0
S00106,2026-01-01,C0033,Social,1,1
S00107,2026-06-21,C0073,Social,1,0
S00108,2026-04-07,C0068,Website,1,0
S00109,2026-01-07,C0098,Mobile App,1,0
S00110,2026-01-22,C0011,Social,1,0
S00111,2026-01-19,C0097,Mobile App,1,0
S00112,2026-02-22,C0007,Marketplace,1,0
S00113,2026-03-02,C0088,Marketplace,1,0
S00114,2026-04-27,C0066,Marketplace,1,0
S00115,2026-02-26,C0049,Social,1,0
S00116,2026-05-12,C0040,Social,1,0
S00117,2026-02-23,C0010,Marketplace,1,1
S00118,2026-02-17,C0081,Marketplace,1,0
S00119,2026-02-19,C0073,Mobile App,1,0
S00120,2026-03-01,C0094,Website,1,0
S00121,2026-06-01,C0074,Marketplace,1,0
S00122,2026-02-14,C0096,Website,1,0
S00123,2026-02-19,C0089,Marketplace,1,0
S00124,2026-06-23,C0043,Mobile App,1,1
S00125,2026-04-29,C0071,Social,1,0
S00126,2026-02-04,C0027,Social,1,0
S00127,2026-06-07,C0080,Marketplace,1,0
S00128,2026-02-03,C0061,Marketplace,1,0
S00129,2026-01-30,C0045,Mobile App,1,0
S00130,2026-03-22,C0063,Mobile App,1,0
S00131,2026-05-06,C0028,Website,1,0
S00132,2026-02-04,C0063,Website,1,0
S00133,2026-05-17,C0048,Marketplace,1,0
S00134,2026-01-29,C0033,Social,1,0
S00135,2026-05-22,C0098,Website,1,0
S00136,2026-01-18,C0007,Mobile App,1,0
S00137,2026-03-26,C0076,Marketplace,1,0
S00138,2026-04-26,C0022,Marketplace,1,0
S00139,2026-02-18,C0023,Marketplace,1,0
S00140,2026-04-21,C0016,Marketplace,1,0
S00141,2026-05-05,C0011,Website,1,0
S00142,2026-04-28,C0013,Mobile App,1,0
S00143,2026-03-13,C0084,Mobile App,1,0
S00144,2026-05-20,C0093,Website,1,0
S00145,2026-05-13,C0059,Mobile App,1,0
S00146,2026-03-01,C0002,Mobile App,1,1
S00147,2026-05-13,C0087,Social,1,1
S00148,2026-06-16,C0061,Mobile App,1,1
S00149,2026-05-28,C0053,Social,1,1
S00150,2026-05-13,C0095,Marketplace,1,1
S00151,2026-05-19,C0041,Marketplace,1,0
S00152,2026-05-26,C0037,Social,1,0
S00153,2026-02-22,C0078,Social,1,0
S00154,2026-05-11,C0053,Website,1,0
S00155,2026-02-06,C0072,Mobile App,1,0
S00156,2026-03-06,C0070,Marketplace,1,0
S00157,2026-06-19,C0084,Social,1,0
S00158,2026-02-21,C0032,Website,1,1
S00159,2026-06-02,C0008,Mobile App,1,0
S00160,2026-03-18,C0048,Website,1,1
S00161,2026-02-07,C0065,Website,1,1
S00162,2026-01-18,C0082,Social,1,1
S00163,2026-04-10,C0027,Website,1,0
S00164,2026-03-23,C0075,Social,1,0
S00165,2026-04-03,C0084,Social,1,0
S00166,2026-01-08,C0081,Social,1,0
S00167,2026-02-18,C0081,Website,1,1
S00168,2026-01-01,C0099,Website,1,1
S00169,2026-02-24,C0067,Mobile App,1,0
S00170,2026-06-18,C0038,Marketplace,1,0
S00171,2026-01-28,C0044,Social,1,1
S00172,2026-05-05,C0075,Mobile App,1,0
S00173,2026-01-02,C0024,Website,1,0
S00174,2026-04-12,C0061,Social,1,0
S00175,2026-06-16,C0058,Social,1,0
S00176,2026-03-03,C0067,Marketplace,1,0
S00177,2026-02-05,C0043,Marketplace,1,0
S00178,2026-04-14,C0074,Social,1,0
S00179,2026-02-20,C0008,Mobile App,1,0
S00180,2026-06-11,C0075,Website,1,0
S00181,2026-06-03,C0082,Marketplace,1,0
S00182,2026-04-29,C0089,Mobile App,1,1
S00183,2026-04-26,C0093,Social,1,0
S00184,2026-04-20,C0035,Social,1,1
S00185,2026-05-14,C0005,Mobile App,1,1
S00186,2026-03-25,C0066,Mobile App,1,1
S00187,2026-06-25,C0010,Mobile App,1,0
S00188,2026-03-04,C0029,Marketplace,1,0
S00189,2026-01-02,C0071,Marketplace,1,0
S00190,2026-05-07,C0060,Marketplace,1,0
S00191,2026-04-30,C0061,Marketplace,1,0
S00192,2026-06-27,C0076,Social,1,0
S00193,2026-03-13,C0017,Mobile App,1,0
S00194,2026-03-18,C0080,Website,1,1
S00195,2026-04-12,C0059,Social,1,0
S00196,2026-03-12,C0043,Social,1,0
S00197,2026-05-23,C0047,Marketplace,1,0
S00198,2026-03-19,C0051,Mobile App,1,1
S00199,2026-05-22,C0056,Mobile App,1,0
S00200,2026-03-19,C0034,Mobile App,1,0
S00201,2026-02-10,C0023,Website,1,0
S00202,2026-06-29,C0017,Marketplace,1,0
S00203,2026-04-06,C0035,Mobile App,1,0
S00204,2026-05-08,C0027,Mobile App,1,1
S00205,2026-04-18,C0052,Marketplace,1,0
S00206,2026-03-07,C0092,Social,1,0
S00207,2026-06-25,C0011,Website,1,0
S00208,2026-03-09,C0031,Social,1,1
S00209,2026-06-29,C0005,Marketplace,1,0
S00210,2026-03-19,C0098,Social,1,0
S00211,2026-01-05,C0071,Mobile App,1,0
S00212,2026-01-07,C0025,Social,1,0
S00213,2026-06-26,C0042,Marketplace,1,0
S00214,2026-04-06,C0073,Marketplace,1,0
S00215,2026-03-12,C0096,Marketplace,1,0
S00216,2026-05-27,C0058,Mobile App,1,1
S00217,2026-04-22,C0028,Marketplace,1,0
S00218,2026-04-30,C0070,Social,1,0
S00219,2026-05-05,C0069,Social,1,1
S00220,2026-02-05,C0065,Website,1,1
S00221,2026-01-16,C0005,Marketplace,1,0
S00222,2026-05-12,C0071,Social,1,1
S00223,2026-01-04,C0002,Marketplace,1,0
S00224,2026-05-11,C0091,Mobile App,1,0
S00225,2026-01-24,C0089,Mobile App,1,0
S00226,2026-02-17,C0057,Marketplace,1,1
S00227,2026-05-09,C0065,Marketplace,1,0
S00228,2026-04-23,C0007,Mobile App,1,1
S00229,2026-05-22,C0088,Mobile App,1,0
S00230,2026-04-21,C0028,Mobile App,1,0
S00231,2026-01-09,C0027,Website,1,0
S00232,2026-06-02,C0071,Website,1,1
S00233,2026-02-09,C0094,Website,1,0
S00234,2026-01-25,C0050,Mobile App,1,0
S00235,2026-06-09,C0051,Marketplace,1,0
S00236,2026-02-05,C0055,Mobile App,1,0
S00237,2026-04-08,C0030,Social,1,0
S00238,2026-03-29,C0060,Website,1,0
S00239,2026-05-20,C0097,Mobile App,1,1
S00240,2026-01-08,C0039,Website,1,1
S00241,2026-01-20,C0078,Mobile App,1,1
S00242,2026-03-17,C0078,Marketplace,1,0
S00243,2026-03-27,C0086,Mobile App,1,0
S00244,2026-05-23,C0073,Mobile App,1,0
S00245,2026-04-20,C0093,Marketplace,1,0
S00246,2026-01-27,C0072,Social,1,0
S00247,2026-06-27,C0098,Website,1,0
S00248,2026-03-25,C0072,Website,1,0
S00249,2026-06-24,C0084,Website,1,0
S00250,2026-06-29,C0090,Marketplace,1,1
S00251,2026-01-10,C0099,Social,1,1
S00252,2026-04-02,C0060,Website,1,1
S00253,2026-03-18,C0072,Website,1,0
S00254,2026-04-01,C0097,Marketplace,1,0
S00255,2026-02-26,C0039,Social,1,1
S00256,2026-04-12,C0012,Marketplace,1,0
S00257,2026-03-31,C0089,Social,1,0
S00258,2026-02-03,C0064,Marketplace,1,1
S00259,2026-02-22,C0043,Website,1,0
S00260,2026-01-27,C0072,Mobile App,1,0
S00261,2026-06-02,C0004,Social,1,0
S00262,2026-05-03,C0048,Marketplace,1,0
S00263,2026-03-12,C0027,Website,1,0
S00264,2026-03-13,C0029,Website,1,1
S00265,2026-01-15,C0097,Marketplace,1,0
S00266,2026-02-22,C0056,Mobile App,1,1
S00267,2026-06-17,C0015,Marketplace,1,0
S00268,2026-01-06,C0037,Mobile App,1,0
S00269,2026-01-27,C0025,Mobile App,1,0
S00270,2026-06-03,C0091,Marketplace,1,0
S00271,2026-04-05,C0030,Website,1,0
S00272,2026-01-06,C0036,Mobile App,1,1
S00273,2026-03-30,C0034,Mobile App,1,0
S00274,2026-05-16,C0018,Social,1,0
S00275,2026-03-04,C0079,Marketplace,1,0
S00276,2026-03-11,C0058,Mobile App,1,0
S00277,2026-04-25,C0044,Mobile App,1,0
S00278,2026-04-19,C0040,Website,1,1
S00279,2026-06-13,C0067,Website,1,0
S00280,2026-02-14,C0010,Mobile App,1,0
S00281,2026-02-19,C0094,Social,1,0
S00282,2026-01-29,C0057,Website,1,0
S00283,2026-05-01,C0023,Website,1,0
S00284,2026-04-07,C0054,Marketplace,1,0
S00285,2026-03-04,C0086,Website,1,0
S00286,2026-05-06,C0018,Social,1,0
S00287,2026-03-10,C0053,Social,1,0
S00288,2026-02-05,C0060,Social,1,0
S00289,2026-04-08,C0082,Mobile App,1,1
S00290,2026-03-20,C0057,Mobile App,1,0
S00291,2026-03-15,C0074,Mobile App,1,0
S00292,2026-03-22,C0078,Website,1,0
S00293,2026-06-15,C0090,Marketplace,1,0
S00294,2026-02-09,C0037,Social,1,1
S00295,2026-02-19,C0071,Mobile App,1,1
S00296,2026-04-13,C0025,Website,1,0
S00297,2026-01-09,C0085,Marketplace,1,1
S00298,2026-01-27,C0096,Mobile App,1,0
S00299,2026-04-13,C0030,Social,1,0
S00300,2026-04-03,C0057,Social,1,0
S00301,2026-04-29,C0083,Social,1,0
S00302,2026-01-21,C0003,Mobile App,1,0
S00303,2026-06-04,C0071,Social,1,0
S00304,2026-03-29,C0083,Website,1,1
S00305,2026-01-29,C0088,Mobile App,1,0
S00306,2026-02-26,C0020,Mobile App,1,0
S00307,2026-02-11,C0076,Social,1,0
S00308,2026-03-23,C0079,Marketplace,1,0
S00309,2026-03-26,C0001,Mobile App,1,1
S00310,2026-03-20,C0071,Website,1,1
S00311,2026-03-25,C0063,Social,1,0
S00312,2026-06-14,C0097,Marketplace,1,0
S00313,2026-06-23,C0005,Social,1,1
S00314,2026-03-30,C0097,Mobile App,1,0
S00315,2026-06-24,C0058,Website,1,0
S00316,2026-05-29,C0028,Mobile App,1,1
S00317,2026-05-29,C0039,Marketplace,1,1
S00318,2026-02-10,C0077,Website,1,0
S00319,2026-03-21,C0100,Website,1,0
S00320,2026-03-05,C0032,Social,1,1
S00321,2026-01-18,C0099,Marketplace,1,0
S00322,2026-01-14,C0063,Mobile App,1,1
S00323,2026-04-23,C0020,Marketplace,1,0
S00324,2026-03-18,C0060,Marketplace,1,1
S00325,2026-05-30,C0081,Website,1,1
S00326,2026-05-02,C0006,Mobile App,1,0
S00327,2026-01-16,C0008,Mobile App,1,0
S00328,2026-06-01,C0001,Website,1,1
S00329,2026-03-31,C0058,Website,1,0
S00330,2026-04-13,C0006,Mobile App,1,0
S00331,2026-06-24,C0094,Marketplace,1,0
S00332,2026-04-26,C0013,Marketplace,1,0
S00333,2026-01-05,C0008,Social,1,0
S00334,2026-02-02,C0026,Mobile App,1,1
S00335,2026-03-19,C0077,Marketplace,1,1
S00336,2026-01-07,C0091,Social,1,0
S00337,2026-01-31,C0026,Marketplace,1,0
S00338,2026-05-24,C0052,Social,1,1
S00339,2026-01-26,C0078,Website,1,1
S00340,2026-01-31,C0080,Social,1,0
S00341,2026-04-02,C0016,Marketplace,1,0
S00342,2026-01-17,C0084,Marketplace,1,0
S00343,2026-02-16,C0087,Website,1,0
S00344,2026-06-19,C0074,Marketplace,1,0
S00345,2026-04-25,C0053,Social,1,0
S00346,2026-06-24,C0040,Marketplace,1,1
S00347,2026-03-06,C0089,Website,1,0
S00348,2026-04-22,C0087,Mobile App,1,0
S00349,2026-02-13,C0052,Marketplace,1,0
S00350,2026-03-10,C0075,Social,1,0
S00351,2026-02-01,C0040,Mobile App,1,1
S00352,2026-05-31,C0075,Social,1,0
S00353,2026-02-03,C0009,Social,1,1
S00354,2026-02-07,C0091,Mobile App,1,1
S00355,2026-03-25,C0052,Website,1,1
S00356,2026-03-19,C0060,Social,1,0
S00357,2026-02-26,C0019,Marketplace,1,1
S00358,2026-03-06,C0053,Social,1,0
S00359,2026-02-23,C0001,Social,1,0
S00360,2026-06-15,C0090,Mobile App,1,0
S00361,2026-04-16,C0075,Website,1,0
S00362,2026-06-16,C0046,Social,1,0
S00363,2026-06-28,C0084,Marketplace,1,0
S00364,2026-04-28,C0082,Website,1,0
S00365,2026-05-30,C0012,Marketplace,1,0
S00366,2026-01-21,C0006,Website,1,0
S00367,2026-06-21,C0026,Mobile App,1,0
S00368,2026-03-29,C0001,Mobile App,1,1
S00369,2026-05-10,C0058,Mobile App,1,0
S00370,2026-02-14,C0053,Marketplace,1,1
S00371,2026-01-18,C0054,Social,1,0
S00372,2026-06-10,C0008,Mobile App,1,0
S00373,2026-03-23,C0092,Marketplace,1,0
S00374,2026-01-26,C0098,Social,1,0
S00375,2026-04-30,C0060,Marketplace,1,1
S00376,2026-01-10,C0001,Mobile App,1,0
S00377,2026-03-23,C0040,Marketplace,1,0
S00378,2026-05-08,C0072,Mobile App,1,1
S00379,2026-05-11,C0075,Mobile App,1,0
S00380,2026-03-24,C0025,Marketplace,1,0
S00381,2026-03-08,C0083,Mobile App,1,0
S00382,2026-06-01,C0097,Website,1,0
S00383,2026-02-03,C0051,Social,1,0
S00384,2026-01-14,C0039,Marketplace,1,1
S00385,2026-01-29,C0053,Website,1,0
S00386,2026-05-25,C0003,Mobile App,1,0
S00387,2026-03-27,C0053,Mobile App,1,1
S00388,2026-01-07,C0003,Social,1,0
S00389,2026-01-31,C0004,Social,1,0
S00390,2026-01-06,C0056,Marketplace,1,0
S00391,2026-05-28,C0052,Mobile App,1,0
S00392,2026-03-25,C0099,Website,1,0
S00393,2026-01-13,C0051,Website,1,0
S00394,2026-02-10,C0098,Website,1,0
S00395,2026-04-22,C0081,Social,1,0
S00396,2026-04-18,C0034,Website,1,1
S00397,2026-05-29,C0093,Marketplace,1,0
S00398,2026-01-05,C0049,Social,1,0
S00399,2026-01-13,C0060,Mobile App,1,0
S00400,2026-01-07,C0011,Marketplace,1,0
S00401,2026-03-13,C0022,Social,1,0
S00402,2026-05-12,C0053,Mobile App,1,1
S00403,2026-05-01,C0028,Mobile App,1,0
S00404,2026-02-08,C0060,Website,1,1
S00405,2026-04-29,C0008,Mobile App,1,0
S00406,2026-04-29,C0026,Social,1,0
S00407,2026-02-04,C0067,Marketplace,1,1
S00408,2026-05-16,C0062,Website,1,0
S00409,2026-03-18,C0099,Marketplace,1,0
S00410,2026-01-11,C0090,Marketplace,1,0
S00411,2026-03-12,C0082,Website,1,0
S00412,2026-05-20,C0001,Social,1,0
S00413,2026-05-07,C0061,Website,1,0
S00414,2026-02-18,C0023,Mobile App,1,0
S00415,2026-05-17,C0027,Mobile App,1,1
S00416,2026-03-12,C0021,Marketplace,1,0
S00417,2026-03-25,C0046,Social,1,1
S00418,2026-01-16,C0013,Website,1,1
S00419,2026-06-30,C0054,Mobile App,1,0
S00420,2026-06-01,C0017,Mobile App,1,0
S00421,2026-02-05,C0051,Social,1,0
S00422,2026-04-12,C0063,Social,1,0
S00423,2026-05-22,C0018,Mobile App,1,1
S00424,2026-04-02,C0011,Marketplace,1,0
S00425,2026-02-08,C0081,Social,1,0
S00426,2026-06-25,C0074,Social,1,1
S00427,2026-02-18,C0027,Marketplace,1,0
S00428,2026-03-02,C0089,Marketplace,1,0
S00429,2026-03-09,C0023,Social,1,0
S00430,2026-06-11,C0093,Website,1,0
S00431,2026-04-01,C0012,Mobile App,1,0
S00432,2026-05-11,C0067,Marketplace,1,0
S00433,2026-06-13,C0002,Website,1,0
S00434,2026-06-18,C0020,Marketplace,1,0
S00435,2026-06-05,C0041,Social,1,0
S00436,2026-06-14,C0009,Website,1,0
S00437,2026-06-21,C0046,Social,1,1
S00438,2026-06-29,C0024,Mobile App,1,1
S00439,2026-04-27,C0010,Social,1,1
S00440,2026-01-24,C0097,Marketplace,1,0
S00441,2026-01-21,C0099,Website,1,0
S00442,2026-05-25,C0097,Marketplace,1,0
S00443,2026-02-27,C0016,Website,1,1
S00444,2026-05-26,C0039,Website,1,0
S00445,2026-06-19,C0033,Social,1,1
S00446,2026-04-27,C0033,Social,1,0
S00447,2026-05-19,C0042,Website,1,1
S00448,2026-02-20,C0052,Mobile App,1,0
S00449,2026-03-20,C0049,Website,1,0
S00450,2026-06-24,C0030,Mobile App,1,0
S00451,2026-05-28,C0098,Social,1,0
S00452,2026-02-07,C0098,Website,1,0
S00453,2026-06-19,C0034,Marketplace,1,0
S00454,2026-04-01,C0023,Social,1,0
S00455,2026-06-02,C0054,Social,1,0
S00456,2026-04-05,C0037,Mobile App,1,1
S00457,2026-04-20,C0099,Marketplace,1,0
S00458,2026-01-30,C0043,Mobile App,1,0
S00459,2026-03-03,C0004,Website,1,0
S00460,2026-05-11,C0013,Website,1,1
S00461,2026-06-02,C0008,Marketplace,1,1
S00462,2026-01-17,C0039,Marketplace,1,0
S00463,2026-01-14,C0032,Marketplace,1,0
S00464,2026-05-06,C0086,Social,1,0
S00465,2026-03-22,C0090,Marketplace,1,1
S00466,2026-06-03,C0015,Mobile App,1,0
S00467,2026-01-13,C0095,Mobile App,1,0
S00468,2026-03-05,C0059,Social,1,0
S00469,2026-01-07,C0031,Social,1,1
S00470,2026-05-09,C0041,Website,1,1
S00471,2026-06-05,C0045,Social,1,1
S00472,2026-01-29,C0018,Website,1,0
S00473,2026-02-28,C0087,Social,1,0
S00474,2026-06-03,C0002,Marketplace,1,0
S00475,2026-01-08,C0007,Marketplace,1,1
S00476,2026-06-22,C0028,Marketplace,1,1
S00477,2026-06-10,C0015,Marketplace,1,0
S00478,2026-01-28,C0007,Mobile App,1,0
S00479,2026-01-26,C0039,Social,1,0
S00480,2026-05-06,C0038,Marketplace,1,0
S00481,2026-01-02,C0013,Marketplace,1,0
S00482,2026-04-02,C0082,Mobile App,1,0
S00483,2026-01-12,C0089,Website,1,0
S00484,2026-04-07,C0072,Marketplace,1,1
S00485,2026-03-05,C0053,Mobile App,1,1
S00486,2026-05-08,C0095,Marketplace,1,0
S00487,2026-06-09,C0036,Mobile App,1,1
S00488,2026-03-30,C0043,Social,1,0
S00489,2026-04-27,C0002,Marketplace,1,0
S00490,2026-04-19,C0071,Mobile App,1,1
S00491,2026-06-28,C0010,Marketplace,1,0
S00492,2026-02-11,C0067,Marketplace,1,0
S00493,2026-02-13,C0079,Marketplace,1,0
S00494,2026-03-10,C0022,Marketplace,1,1
S00495,2026-05-14,C0062,Social,1,1
S00496,2026-06-06,C0031,Mobile App,1,1
S00497,2026-02-20,C0040,Mobile App,1,0
S00498,2026-01-20,C0053,Mobile App,1,0
S00499,2026-04-21,C0025,Marketplace,1,0
S00500,2026-04-19,C0080,Social,1,1
S00501,2026-03-09,C0040,Marketplace,1,0
S00502,2026-02-03,C0047,Website,1,0
S00503,2026-06-03,C0082,Social,1,0
S00504,2026-06-03,C0023,Social,1,0
S00505,2026-05-16,C0046,Mobile App,1,0
S00506,2026-04-15,C0100,Website,1,0
S00507,2026-02-17,C0040,Mobile App,1,0
S00508,2026-03-14,C0012,Social,1,0
S00509,2026-01-13,C0029,Marketplace,1,0
S00510,2026-02-15,C0096,Website,1,0
S00511,2026-03-23,C0076,Website,1,0
S00512,2026-03-21,C0081,Social,1,0
S00513,2026-01-15,C0026,Mobile App,1,0
S00514,2026-06-23,C0084,Marketplace,1,0
S00515,2026-02-18,C0040,Mobile App,1,0
S00516,2026-04-03,C0080,Website,1,0
S00517,2026-03-26,C0089,Mobile App,1,0
S00518,2026-03-26,C0021,Marketplace,1,0
S00519,2026-06-02,C0094,Mobile App,1,0
S00520,2026-05-16,C0064,Marketplace,1,1
S00521,2026-06-07,C0074,Mobile App,1,0
S00522,2026-03-10,C0076,Mobile App,1,0
S00523,2026-02-17,C0017,Mobile App,1,0
S00524,2026-03-19,C0075,Mobile App,1,0
S00525,2026-04-12,C0022,Mobile App,1,0
S00526,2026-03-02,C0028,Marketplace,1,0
S00527,2026-03-25,C0012,Mobile App,1,0
S00528,2026-01-28,C0019,Marketplace,1,0
S00529,2026-04-16,C0098,Mobile App,1,1
S00530,2026-05-10,C0033,Mobile App,1,0
S00531,2026-04-06,C0039,Social,1,0
S00532,2026-06-08,C0048,Social,1,0
S00533,2026-06-30,C0072,Mobile App,1,0
S00534,2026-06-13,C0058,Mobile App,1,0
S00535,2026-01-17,C0054,Marketplace,1,0
S00536,2026-06-09,C0084,Website,1,1
S00537,2026-03-02,C0050,Mobile App,1,0
S00538,2026-03-23,C0077,Marketplace,1,0
S00539,2026-03-16,C0092,Marketplace,1,0
S00540,2026-02-21,C0068,Website,1,0
S00541,2026-06-08,C0004,Website,1,0
S00542,2026-04-26,C0027,Mobile App,1,1
S00543,2026-06-25,C0062,Website,1,1
S00544,2026-06-22,C0048,Marketplace,1,0
S00545,2026-03-17,C0029,Social,1,1
S00546,2026-05-12,C0034,Mobile App,1,0
S00547,2026-04-01,C0008,Mobile App,1,0
S00548,2026-03-31,C0024,Website,1,0
S00549,2026-05-14,C0079,Website,1,0
S00550,2026-05-05,C0002,Marketplace,1,0
S00551,2026-06-15,C0084,Mobile App,1,1
S00552,2026-05-20,C0034,Marketplace,1,0
S00553,2026-04-23,C0081,Marketplace,1,1
S00554,2026-06-16,C0026,Social,1,0
S00555,2026-01-19,C0083,Website,1,0
S00556,2026-05-19,C0058,Marketplace,1,0
S00557,2026-03-13,C0086,Social,1,0
S00558,2026-03-20,C0007,Mobile App,1,1
S00559,2026-05-22,C0080,Website,1,0
S00560,2026-02-19,C0028,Mobile App,1,0
S00561,2026-06-09,C0036,Social,1,0
S00562,2026-04-01,C0005,Social,1,0
S00563,2026-03-05,C0096,Mobile App,1,1
S00564,2026-03-01,C0065,Website,1,0
S00565,2026-03-18,C0099,Mobile App,1,0
S00566,2026-06-20,C0057,Website,1,0
S00567,2026-01-19,C0016,Marketplace,1,0
S00568,2026-04-02,C0034,Social,1,0
S00569,2026-06-01,C0044,Website,1,1
S00570,2026-03-27,C0015,Marketplace,1,0
S00571,2026-04-13,C0094,Social,1,0
S00572,2026-03-05,C0096,Marketplace,1,0
S00573,2026-01-25,C0057,Social,1,0
S00574,2026-04-26,C0059,Website,1,0
S00575,2026-06-16,C0071,Marketplace,1,0
S00576,2026-04-05,C0068,Website,1,0
S00577,2026-03-20,C0007,Social,1,1
S00578,2026-01-24,C0054,Mobile App,1,0
S00579,2026-06-20,C0078,Website,1,0
S00580,2026-06-07,C0081,Marketplace,1,0
S00581,2026-06-13,C0060,Marketplace,1,1
S00582,2026-03-06,C0090,Mobile App,1,0
S00583,2026-04-24,C0059,Mobile App,1,1
S00584,2026-03-20,C0039,Website,1,0
S00585,2026-02-12,C0045,Social,1,0
S00586,2026-02-07,C0070,Website,1,0
S00587,2026-03-11,C0089,Social,1,1
S00588,2026-04-11,C0023,Marketplace,1,0
S00589,2026-01-23,C0030,Marketplace,1,1
S00590,2026-05-08,C0066,Marketplace,1,0
