order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,status,channel,region,campaign_id
O00029,2026-06-13,C0051,P020,4,7276,15,Completed,Social,Delhi,CAM007
O00030,2026-04-01,C0055,P012,2,2266,20,Completed,Marketplace,Hyderabad,CAM008
O00031,2026-06-19,C0099,P008,1,7276,5,Completed,Website,Mumbai,CAM006
O00032,2026-01-28,C0029,P010,1,9015,20,Completed,Website,Mumbai,CAM004
O00033,2026-04-01,C0035,P006,1,9686,0,Completed,Mobile App,Hyderabad,CAM010
O00034,2026-05-07,C0090,P014,4,11704,20,Completed,Website,Mumbai,CAM007
O00035,2026-03-31,C0039,P008,4,9686,0,Completed,Website,Chennai,CAM009
O00036,2026-03-22,C0024,P012,3,13533,20,Completed,Website,Chennai,CAM003
O00037,2026-01-31,C0057,P008,1,9015,5,Completed,Social,Chennai,CAM009
O00038,2026-03-10,C0033,P007,1,7276,20,Completed,Marketplace,Mumbai,CAM004
O00039,2026-02-13,C0090,P020,4,7276,0,Completed,Marketplace,Delhi,CAM005
O00040,2026-02-24,C0091,P007,2,1100,10,Completed,Social,Delhi,CAM009
O00041,2026-05-04,C0031,P002,1,2266,20,Returned,Mobile App,Mumbai,CAM004
O00042,2026-04-25,C0053,P008,1,11524,0,Completed,Mobile App,Chennai,CAM003
O00043,2026-04-20,C0099,P011,2,9015,5,Completed,Website,Bengaluru,CAM010
O00044,2026-03-07,C0075,P002,3,11294,0,Completed,Mobile App,Mumbai,CAM010
O00045,2026-06-23,C0022,P007,4,2266,5,Completed,Website,Hyderabad,CAM004
O00046,2026-01-16,C0060,P004,2,17174,5,Completed,Marketplace,Chennai,CAM004
O00047,2026-03-04,C0062,P011,3,16000,15,Completed,Social,Delhi,CAM003
O00048,2026-01-22,C0066,P015,1,12255,5,Completed,Marketplace,Hyderabad,CAM001
O00049,2026-03-03,C0003,P020,1,11404,0,Completed,Mobile App,Delhi,CAM006
O00050,2026-06-24,C0030,P008,1,12877,0,Completed,Marketplace,Delhi,CAM003
O00051,2026-03-08,C0086,P018,4,9686,20,Completed,Social,Delhi,CAM009
O00052,2026-06-14,C0025,P005,3,9072,20,Completed,Mobile App,Chennai,CAM002
O00053,2026-03-31,C0030,P016,4,2266,5,Completed,Mobile App,Delhi,CAM007
O00054,2026-05-07,C0033,P012,1,11404,0,Completed,Marketplace,Mumbai,CAM006
O00055,2026-03-24,C0018,P016,1,6427,0,Completed,Website,Hyderabad,CAM007
O00056,2026-02-18,C0016,P016,4,9015,20,Completed,Social,Bengaluru,CAM002
O00057,2026-05-19,C0035,P011,1,12877,15,Returned,Mobile App,Hyderabad,CAM005
O00058,2026-06-25,C0088,P006,1,12255,15,Completed,Mobile App,Hyderabad,CAM007
O00059,2026-02-17,C0001,P011,3,16000,5,Completed,Marketplace,Bengaluru,CAM004
O00060,2026-05-21,C0029,P017,3,11522,15,Completed,Website,Delhi,CAM009
O00061,2026-02-17,C0007,P020,1,12255,0,Completed,Website,Hyderabad,CAM006
O00062,2026-05-10,C0057,P019,2,13533,15,Completed,Website,Chennai,CAM004
O00063,2026-05-23,C0026,P004,3,11294,10,Completed,Mobile App,Mumbai,CAM001
O00064,2026-03-23,C0080,P012,2,7276,5,Completed,Marketplace,Hyderabad,CAM002
O00065,2026-05-14,C0059,P003,2,11404,15,Completed,Website,Chennai,CAM005
O00066,2026-02-19,C0079,P014,1,7276,15,Completed,Mobile App,Bengaluru,CAM005
O00067,2026-01-15,C0064,P020,2,13533,10,Completed,Social,Mumbai,CAM009
O00068,2026-01-18,C0044,P002,4,11524,0,Completed,Social,Delhi,CAM008
O00069,2026-03-22,C0087,P014,3,6427,0,Completed,Website,Chennai,CAM002
O00070,2026-06-13,C0048,P019,4,2266,20,Completed,Marketplace,Mumbai,CAM006
O00071,2026-01-24,C0095,P017,1,1100,5,Completed,Website,Delhi,CAM005
O00072,2026-03-24,C0100,P008,1,12877,5,Completed,Marketplace,Bengaluru,CAM002
O00073,2026-05-08,C0059,P003,3,11404,15,Completed,Social,Mumbai,CAM007
O00074,2026-02-06,C0068,P019,1,11704,5,Completed,Social,Chennai,CAM006
O00075,2026-05-11,C0026,P019,3,1100,5,Returned,Website,Bengaluru,CAM001
O00076,2026-02-25,C0082,P012,4,13261,15,Returned,Mobile App,Mumbai,CAM005
O00077,2026-05-27,C0068,P020,2,11522,10,Completed,Social,Hyderabad,CAM008
O00078,2026-04-15,C0091,P001,3,13533,15,Completed,Social,Hyderabad,CAM004
O00079,2026-04-09,C0027,P013,3,16000,0,Completed,Mobile App,Hyderabad,CAM004
O00080,2026-02-01,C0079,P001,1,17174,10,Completed,Website,Mumbai,CAM002
O00081,2026-03-25,C0048,P019,4,2044,10,Completed,Mobile App,Bengaluru,CAM003
O00082,2026-06-05,C0019,P014,1,12255,15,Completed,Marketplace,Hyderabad,CAM010
O00083,2026-01-04,C0018,P019,4,15417,0,Completed,Mobile App,Mumbai,CAM007
O00084,2026-05-18,C0057,P012,3,13261,0,Completed,Social,Delhi,CAM002
O00085,2026-03-31,C0032,P002,1,9072,15,Completed,Social,Bengaluru,CAM005
O00086,2026-05-11,C0011,P001,3,17174,15,Completed,Social,Delhi,CAM002
O00087,2026-05-01,C0043,P007,1,7276,20,Completed,Website,Chennai,CAM005
O00088,2026-03-20,C0066,P015,3,11524,5,Returned,Social,Hyderabad,CAM002
O00089,2026-02-25,C0032,P004,4,9015,20,Completed,Social,Bengaluru,CAM007
O00090,2026-04-24,C0096,P018,4,17174,5,Completed,Mobile App,Chennai,CAM006
O00091,2026-01-26,C0078,P005,4,15417,15,Completed,Marketplace,Hyderabad,CAM007
O00092,2026-04-16,C0052,P010,2,9686,0,Completed,Social,Mumbai,CAM005
O00093,2026-01-18,C0094,P005,3,15417,20,Completed,Social,Delhi,CAM003
O00094,2026-04-28,C0044,P010,2,11294,5,Completed,Marketplace,Bengaluru,CAM003
O00095,2026-04-24,C0014,P010,4,12255,20,Completed,Website,Delhi,CAM003
O00096,2026-01-16,C0004,P001,2,15417,5,Completed,Marketplace,Mumbai,CAM005
O00097,2026-05-18,C0094,P012,4,6427,15,Completed,Marketplace,Chennai,CAM005
O00098,2026-03-17,C0096,P016,2,2266,10,Completed,Website,Hyderabad,CAM007
O00099,2026-05-23,C0074,P019,3,11522,0,Completed,Social,Delhi,CAM001
O00100,2026-01-08,C0011,P007,1,7276,0,Completed,Website,Chennai,CAM003
O00101,2026-02-02,C0030,P018,3,11704,15,Completed,Social,Bengaluru,CAM009
O00102,2026-03-31,C0005,P018,1,9686,0,Completed,Marketplace,Mumbai,CAM010
O00103,2026-02-04,C0006,P020,1,9015,5,Completed,Mobile App,Hyderabad,CAM010
O00104,2026-03-01,C0025,P008,2,7276,10,Returned,Website,Mumbai,CAM004
O00105,2026-04-30,C0058,P018,2,9072,5,Completed,Website,Delhi,CAM002
O00106,2026-01-27,C0007,P012,3,7276,0,Completed,Marketplace,Chennai,CAM002
O00107,2026-05-03,C0099,P002,2,7276,15,Completed,Mobile App,Mumbai,CAM002
O00108,2026-01-19,C0046,P006,1,12255,15,Completed,Social,Delhi,CAM010
O00109,2026-02-01,C0027,P014,2,11522,15,Completed,Website,Mumbai,CAM009
O00110,2026-04-17,C0052,P004,2,2266,20,Completed,Social,Mumbai,CAM009
O00111,2026-05-24,C0080,P009,3,11524,0,Completed,Social,Chennai,CAM008
O00112,2026-01-31,C0032,P016,3,2266,10,Returned,Website,Delhi,CAM004
O00113,2026-02-24,C0005,P003,1,2266,5,Completed,Marketplace,Hyderabad,CAM005
O00114,2026-06-17,C0006,P010,3,2266,20,Returned,Social,Delhi,CAM009
O00115,2026-06-29,C0086,P005,3,11524,10,Completed,Mobile App,Delhi,CAM009
O00116,2026-04-16,C0012,P011,4,11404,0,Completed,Website,Delhi,CAM006
O00117,2026-03-22,C0064,P005,3,11524,15,Completed,Social,Mumbai,CAM009
O00118,2026-03-04,C0039,P020,4,9072,0,Completed,Mobile App,Mumbai,CAM004
O00119,2026-04-21,C0078,P002,1,9072,5,Returned,Website,Chennai,CAM005
O00120,2026-04-17,C0007,P020,3,9015,15,Completed,Social,Delhi,CAM009
O00121,2026-02-23,C0090,P016,1,7276,10,Completed,Marketplace,Delhi,CAM004
O00122,2026-01-05,C0070,P018,1,11294,15,Returned,Website,Bengaluru,CAM008
O00123,2026-01-28,C0045,P018,4,9686,10,Completed,Mobile App,Delhi,CAM005
O00124,2026-06-23,C0021,P004,2,6427,20,Completed,Website,Mumbai,CAM003
O00125,2026-03-17,C0098,P019,3,13261,10,Completed,Social,Hyderabad,CAM003
O00126,2026-03-29,C0031,P012,3,15417,0,Completed,Website,Delhi,CAM007
O00127,2026-03-26,C0050,P020,3,2044,0,Returned,Social,Hyderabad,CAM005
O00128,2026-05-22,C0040,P018,1,9072,15,Completed,Marketplace,Delhi,CAM004
O00129,2026-01-12,C0024,P012,1,12255,0,Completed,Marketplace,Chennai,CAM008
O00130,2026-01-15,C0042,P008,1,11524,5,Completed,Social,Bengaluru,CAM001
O00131,2026-02-19,C0016,P003,4,2044,0,Completed,Social,Mumbai,CAM001
O00132,2026-03-30,C0001,P003,1,11524,5,Completed,Website,Hyderabad,CAM010
O00133,2026-05-02,C0029,P008,3,9072,10,Completed,Website,Mumbai,CAM007
O00134,2026-03-30,C0012,P017,2,11704,0,Completed,Website,Bengaluru,CAM006
O00135,2026-03-21,C0042,P011,1,11524,10,Completed,Marketplace,Mumbai,CAM001
O00136,2026-06-19,C0087,P010,2,2044,20,Completed,Marketplace,Chennai,CAM006
O00137,2026-01-30,C0017,P005,1,12255,0,Completed,Website,Delhi,CAM005
O00138,2026-04-14,C0001,P012,1,17174,0,Completed,Website,Hyderabad,CAM006
O00139,2026-04-09,C0012,P013,1,13261,5,Completed,Marketplace,Hyderabad,CAM001
O00140,2026-03-27,C0051,P020,4,11524,20,Completed,Marketplace,Chennai,CAM006
O00141,2026-05-27,C0028,P015,3,1100,10,Completed,Mobile App,Chennai,CAM006
O00142,2026-02-18,C0049,P013,4,15417,15,Completed,Social,Hyderabad,CAM003
O00143,2026-06-22,C0003,P019,2,9072,0,Completed,Social,Bengaluru,CAM001
O00144,2026-03-02,C0034,P009,1,9015,15,Completed,Social,Chennai,CAM010
O00145,2026-04-09,C0042,P019,3,11704,0,Completed,Mobile App,Chennai,CAM008
O00146,2026-04-05,C0044,P008,4,9686,15,Completed,Social,Delhi,CAM007
O00147,2026-06-03,C0056,P003,3,2266,0,Completed,Marketplace,Hyderabad,CAM008
O00148,2026-03-21,C0079,P009,1,2044,20,Completed,Marketplace,Delhi,CAM007
O00149,2026-02-21,C0047,P003,2,7276,5,Completed,Mobile App,Delhi,CAM002
O00150,2026-01-04,C0085,P003,4,11522,0,Completed,Social,Delhi,CAM005
O00151,2026-03-07,C0053,P018,3,11294,5,Completed,Marketplace,Chennai,CAM009
O00152,2026-05-30,C0027,P016,4,11524,0,Completed,Website,Mumbai,CAM003
O00153,2026-01-02,C0023,P005,3,17174,0,Completed,Social,Mumbai,CAM010
O00154,2026-06-12,C0033,P017,1,12877,10,Completed,Website,Delhi,CAM001
O00155,2026-04-09,C0060,P002,4,13261,5,Completed,Marketplace,Delhi,CAM004
O00156,2026-01-26,C0025,P006,4,2266,5,Completed,Marketplace,Mumbai,CAM004
O00157,2026-02-24,C0092,P015,3,6427,20,Completed,Marketplace,Hyderabad,CAM007
O00158,2026-04-11,C0048,P007,4,9015,0,Completed,Website,Hyderabad,CAM002
O00159,2026-02-27,C0087,P015,1,2044,5,Completed,Mobile App,Delhi,CAM003
O00160,2026-01-20,C0069,P018,4,11522,0,Completed,Social,Mumbai,CAM007
O00161,2026-05-01,C0034,P002,1,11524,10,Completed,Website,Hyderabad,CAM003
O00162,2026-05-02,C0023,P001,4,11404,5,Completed,Marketplace,Mumbai,CAM009
O00163,2026-01-22,C0075,P019,1,9015,0,Completed,Social,Chennai,CAM009
O00164,2026-02-20,C0034,P011,3,9072,0,Completed,Social,Hyderabad,CAM004
O00165,2026-02-14,C0025,P011,4,17174,20,Completed,Marketplace,Chennai,CAM006
O00166,2026-04-30,C0094,P010,1,11522,0,Completed,Mobile App,Mumbai,CAM004
O00167,2026-05-13,C0049,P009,1,11522,15,Completed,Marketplace,Bengaluru,CAM004
O00168,2026-05-12,C0005,P014,4,12877,20,Returned,Mobile App,Mumbai,CAM007
O00169,2026-06-19,C0050,P012,1,1100,10,Completed,Marketplace,Delhi,CAM003
O00170,2026-05-20,C0047,P004,3,9072,5,Completed,Marketplace,Delhi,CAM002
O00171,2026-02-28,C0087,P013,4,12255,15,Completed,Marketplace,Mumbai,CAM003
O00172,2026-01-20,C0072,P014,3,2266,20,Returned,Website,Bengaluru,CAM010
O00173,2026-04-22,C0020,P003,2,2266,0,Completed,Social,Delhi,CAM003
O00174,2026-06-15,C0016,P008,2,11404,20,Completed,Marketplace,Bengaluru,CAM004
O00175,2026-06-26,C0061,P016,3,13261,20,Completed,Social,Bengaluru,CAM007
O00176,2026-02-11,C0005,P013,3,16000,0,Completed,Marketplace,Chennai,CAM002
O00177,2026-02-12,C0032,P003,3,17174,0,Completed,Social,Chennai,CAM003
O00178,2026-01-07,C0014,P001,1,11524,15,Completed,Social,Mumbai,CAM002
O00179,2026-01-26,C0003,P012,3,11404,0,Completed,Social,Mumbai,CAM010
O00180,2026-04-11,C0092,P010,3,2266,15,Completed,Marketplace,Mumbai,CAM010
O00181,2026-04-09,C0009,P020,3,2044,0,Completed,Marketplace,Mumbai,CAM008
O00182,2026-03-09,C0001,P011,1,15417,15,Completed,Website,Bengaluru,CAM003
O00183,2026-02-26,C0094,P019,3,12877,5,Completed,Mobile App,Bengaluru,CAM007
O00184,2026-05-31,C0019,P005,3,9072,0,Completed,Mobile App,Mumbai,CAM007
O00185,2026-03-25,C0082,P009,1,16000,0,Completed,Social,Bengaluru,CAM009
O00186,2026-05-27,C0004,P003,4,13533,0,Completed,Marketplace,Mumbai,CAM002
O00187,2026-06-24,C0016,P012,3,12877,10,Completed,Mobile App,Chennai,CAM008
O00188,2026-02-27,C0012,P004,2,11404,0,Completed,Website,Bengaluru,CAM002
O00189,2026-02-06,C0071,P010,3,13533,20,Completed,Marketplace,Delhi,CAM006
O00190,2026-06-22,C0063,P007,3,9015,15,Completed,Mobile App,Delhi,CAM009
O00191,2026-04-25,C0048,P004,3,15417,5,Completed,Website,Chennai,CAM001
O00192,2026-02-22,C0025,P002,2,9072,20,Returned,Mobile App,Delhi,CAM002
O00193,2026-04-23,C0009,P011,4,11404,15,Completed,Social,Hyderabad,CAM009
O00194,2026-04-04,C0057,P019,4,11294,15,Returned,Website,Bengaluru,CAM001
O00195,2026-06-13,C0024,P004,1,2266,0,Completed,Mobile App,Bengaluru,CAM007
O00196,2026-02-16,C0060,P009,3,6427,15,Completed,Marketplace,Mumbai,CAM006
O00197,2026-06-29,C0069,P005,1,12877,10,Completed,Website,Delhi,CAM004
O00198,2026-06-19,C0085,P017,2,12255,20,Completed,Website,Hyderabad,CAM009
O00199,2026-02-02,C0050,P009,4,15417,10,Completed,Social,Hyderabad,CAM009
O00200,2026-01-30,C0001,P020,1,11524,15,Completed,Marketplace,Chennai,CAM004
O00201,2026-04-07,C0029,P005,2,9686,5,Completed,Website,Chennai,CAM001
O00202,2026-01-09,C0086,P002,1,2266,0,Completed,Website,Chennai,CAM002
O00203,2026-02-24,C0054,P012,3,11522,0,Completed,Mobile App,Bengaluru,CAM002
O00204,2026-03-20,C0062,P014,2,11404,20,Completed,Marketplace,Chennai,CAM010
O00205,2026-06-25,C0046,P020,3,12255,15,Completed,Marketplace,Chennai,CAM006
O00206,2026-06-29,C0017,P018,4,1100,5,Completed,Website,Mumbai,CAM007
O00207,2026-01-28,C0090,P018,3,7276,15,Completed,Marketplace,Delhi,CAM003
O00208,2026-06-11,C0078,P013,3,13261,0,Completed,Social,Hyderabad,CAM009
O00209,2026-01-17,C0100,P008,1,13261,0,Completed,Website,Mumbai,CAM008
O00210,2026-05-16,C0086,P009,1,7276,10,Returned,Website,Hyderabad,CAM008
O00211,2026-06-03,C0030,P003,4,15417,15,Completed,Social,Bengaluru,CAM005
O00212,2026-06-11,C0026,P009,4,9072,20,Completed,Marketplace,Hyderabad,CAM007
O00213,2026-02-10,C0025,P008,3,11522,15,Completed,Social,Delhi,CAM006
O00214,2026-06-11,C0092,P001,2,12255,5,Completed,Mobile App,Mumbai,CAM004
O00215,2026-01-21,C0056,P005,1,15417,20,Completed,Mobile App,Delhi,CAM006
O00216,2026-04-04,C0046,P011,4,13533,10,Returned,Website,Mumbai,CAM004
O00217,2026-03-26,C0097,P008,4,16000,20,Completed,Website,Delhi,CAM010
O00218,2026-02-27,C0061,P020,1,9686,0,Completed,Mobile App,Bengaluru,CAM008
O00219,2026-01-05,C0091,P010,3,15417,0,Completed,Website,Mumbai,CAM008
O00220,2026-05-20,C0099,P020,3,9072,0,Completed,Social,Mumbai,CAM008
O00221,2026-03-02,C0008,P014,2,2266,20,Completed,Marketplace,Bengaluru,CAM005
O00222,2026-04-30,C0037,P001,4,11704,0,Returned,Social,Mumbai,CAM010
O00223,2026-03-16,C0074,P005,1,1100,20,Completed,Marketplace,Delhi,CAM003
O00224,2026-03-09,C0082,P015,2,2044,15,Returned,Mobile App,Delhi,CAM006
O00225,2026-06-10,C0015,P011,1,17174,0,Completed,Marketplace,Chennai,CAM001
O00226,2026-01-18,C0032,P007,3,9686,20,Completed,Website,Bengaluru,CAM003
O00227,2026-05-14,C0055,P011,3,17174,0,Returned,Social,Mumbai,CAM006
O00228,2026-05-16,C0080,P019,4,12877,0,Completed,Marketplace,Hyderabad,CAM005
O00229,2026-03-10,C0012,P008,3,13533,10,Completed,Website,Mumbai,CAM010
O00230,2026-02-17,C0061,P001,1,11704,5,Completed,Marketplace,Bengaluru,CAM007
O00231,2026-01-01,C0030,P007,2,1100,5,Completed,Marketplace,Chennai,CAM005
O00232,2026-06-19,C0022,P019,1,6427,0,Completed,Website,Bengaluru,CAM005
O00233,2026-06-21,C0052,P016,3,2266,15,Completed,Website,Mumbai,CAM007
O00234,2026-02-13,C0042,P017,3,1100,0,Completed,Social,Hyderabad,CAM008
O00235,2026-01-06,C0064,P019,4,6427,5,Completed,Mobile App,Mumbai,CAM003
O00236,2026-01-23,C0032,P003,2,11404,10,Completed,Marketplace,Delhi,CAM006
O00237,2026-01-13,C0083,P006,2,1100,10,Completed,Website,Chennai,CAM006
O00238,2026-05-31,C0008,P002,1,13261,15,Completed,Marketplace,Mumbai,CAM001
O00239,2026-06-11,C0087,P001,2,12255,5,Completed,Website,Delhi,CAM010
O00240,2026-01-28,C0003,P017,2,11522,15,Completed,Mobile App,Chennai,CAM006
O00241,2026-05-16,C0074,P019,4,16000,15,Completed,Marketplace,Mumbai,CAM003
O00242,2026-02-02,C0035,P004,4,7276,5,Completed,Mobile App,Mumbai,CAM007
O00243,2026-03-08,C0039,P015,1,12877,5,Completed,Marketplace,Hyderabad,CAM007
O00244,2026-04-19,C0002,P011,2,13533,10,Completed,Website,Bengaluru,CAM010
O00245,2026-05-11,C0071,P002,3,15417,10,Completed,Mobile App,Hyderabad,CAM001
O00246,2026-06-08,C0017,P019,2,11704,0,Completed,Social,Chennai,CAM005
O00247,2026-01-09,C0066,P018,1,7276,10,Completed,Mobile App,Hyderabad,CAM002
O00248,2026-02-05,C0073,P012,4,7276,0,Completed,Website,Mumbai,CAM006
O00249,2026-02-20,C0085,P015,3,11294,10,Completed,Social,Chennai,CAM006
O00250,2026-02-26,C0071,P008,3,9015,20,Completed,Social,Delhi,CAM005
O00251,2026-06-30,C0031,P016,2,11704,10,Completed,Marketplace,Mumbai,CAM010
O00252,2026-05-21,C0074,P009,4,11704,15,Completed,Social,Mumbai,CAM006
O00253,2026-02-27,C0083,P020,1,12255,5,Completed,Social,Chennai,CAM005
O00254,2026-06-25,C0032,P002,2,11404,20,Completed,Marketplace,Delhi,CAM001
O00255,2026-04-01,C0013,P004,4,11524,20,Completed,Marketplace,Mumbai,CAM003
O00256,2026-04-01,C0090,P020,4,12877,20,Completed,Website,Delhi,CAM009
O00257,2026-03-20,C0015,P006,2,16000,15,Completed,Marketplace,Delhi,CAM005
O00258,2026-01-27,C0060,P007,3,6427,15,Completed,Mobile App,Bengaluru,CAM010
O00259,2026-06-19,C0024,P016,1,12877,10,Completed,Social,Hyderabad,CAM006
O00260,2026-01-03,C0013,P004,1,9072,20,Completed,Mobile App,Bengaluru,CAM006
O00261,2026-02-01,C0078,P011,2,13261,20,Completed,Social,Delhi,CAM005
O00262,2026-02-11,C0015,P006,4,13261,10,Completed,Marketplace,Chennai,CAM006
O00263,2026-02-20,C0068,P004,3,12877,0,Completed,Marketplace,Delhi,CAM001
O00264,2026-01-24,C0070,P020,2,2266,0,Completed,Social,Delhi,CAM001
O00265,2026-01-04,C0007,P004,2,12255,5,Completed,Mobile App,Delhi,CAM005
O00266,2026-05-03,C0018,P002,1,17174,0,Completed,Mobile App,Delhi,CAM006
O00267,2026-06-25,C0080,P014,2,6427,5,Completed,Mobile App,Hyderabad,CAM006
O00268,2026-01-23,C0051,P018,1,11404,0,Returned,Social,Delhi,CAM005
O00269,2026-02-23,C0013,P003,1,13533,20,Completed,Social,Hyderabad,CAM003
O00270,2026-04-02,C0100,P015,3,15417,0,Completed,Website,Chennai,CAM008
O00271,2026-06-17,C0027,P011,1,2044,15,Returned,Mobile App,Mumbai,CAM007
O00272,2026-05-06,C0001,P017,1,1100,5,Completed,Mobile App,Mumbai,CAM001
O00273,2026-05-19,C0093,P003,3,7276,0,Completed,Marketplace,Delhi,CAM005
O00274,2026-04-16,C0002,P020,2,12255,15,Completed,Website,Chennai,CAM008
O00275,2026-03-17,C0056,P013,2,11524,20,Completed,Marketplace,Bengaluru,CAM008
O00276,2026-02-06,C0100,P017,1,12877,15,Completed,Marketplace,Mumbai,CAM003
O00277,2026-06-06,C0058,P008,1,2044,20,Completed,Website,Hyderabad,CAM010
O00278,2026-05-26,C0059,P019,2,6427,10,Completed,Website,Delhi,CAM007
O00279,2026-01-05,C0039,P013,3,13533,15,Completed,Marketplace,Delhi,CAM005
O00280,2026-05-10,C0013,P003,2,11522,0,Completed,Mobile App,Bengaluru,CAM007
O00281,2026-01-16,C0058,P019,3,13261,20,Completed,Social,Bengaluru,CAM009
O00282,2026-05-14,C0090,P016,3,12877,15,Completed,Social,Mumbai,CAM003
O00283,2026-05-30,C0010,P007,2,11522,5,Returned,Social,Hyderabad,CAM002
O00284,2026-01-24,C0089,P011,2,9686,5,Completed,Marketplace,Chennai,CAM005
O00285,2026-03-20,C0042,P008,2,15417,15,Completed,Social,Delhi,CAM001
O00286,2026-01-23,C0054,P011,1,1100,0,Completed,Website,Chennai,CAM009
O00287,2026-04-13,C0017,P020,3,11294,20,Completed,Mobile App,Chennai,CAM010
O00288,2026-06-17,C0063,P018,3,12255,5,Completed,Website,Delhi,CAM007
O00289,2026-01-15,C0019,P005,2,7276,0,Completed,Marketplace,Hyderabad,CAM010
O00290,2026-03-13,C0028,P020,2,7276,5,Completed,Marketplace,Chennai,CAM001
O00291,2026-06-26,C0073,P009,2,15417,20,Completed,Mobile App,Chennai,CAM007
O00292,2026-02-24,C0006,P015,3,1100,5,Completed,Mobile App,Hyderabad,CAM005
O00293,2026-01-24,C0045,P016,4,7276,10,Completed,Marketplace,Mumbai,CAM003
O00294,2026-03-30,C0060,P010,1,9015,20,Completed,Website,Hyderabad,CAM004
O00295,2026-04-03,C0014,P010,2,15417,0,Completed,Marketplace,Chennai,CAM006
O00296,2026-04-30,C0030,P010,1,17174,15,Completed,Marketplace,Hyderabad,CAM007
O00297,2026-02-26,C0035,P018,2,11294,5,Completed,Website,Chennai,CAM002
O00298,2026-06-22,C0067,P008,1,7276,15,Completed,Website,Delhi,CAM007
O00299,2026-04-05,C0098,P006,2,7276,0,Completed,Mobile App,Mumbai,CAM010
O00300,2026-02-21,C0084,P008,2,11294,0,Completed,Marketplace,Delhi,CAM001
O00301,2026-06-23,C0019,P004,2,13261,15,Completed,Mobile App,Mumbai,CAM009
O00302,2026-06-17,C0002,P008,2,11704,20,Completed,Mobile App,Delhi,CAM007
O00303,2026-04-01,C0006,P003,4,16000,20,Completed,Marketplace,Delhi,CAM004
O00304,2026-01-05,C0060,P002,4,11294,15,Completed,Website,Chennai,CAM008
O00305,2026-04-19,C0016,P015,1,2044,10,Completed,Marketplace,Chennai,CAM007
O00306,2026-04-11,C0024,P002,2,2044,0,Completed,Website,Mumbai,CAM008
O00307,2026-01-27,C0085,P012,4,13533,5,Completed,Website,Delhi,CAM001
O00308,2026-04-25,C0088,P016,3,11522,15,Returned,Website,Chennai,CAM001
O00309,2026-06-02,C0084,P015,1,11404,5,Completed,Mobile App,Chennai,CAM007
O00310,2026-01-20,C0026,P009,3,17174,10,Completed,Website,Bengaluru,CAM004
O00311,2026-05-11,C0062,P004,1,9015,0,Completed,Social,Bengaluru,CAM003
O00312,2026-01-26,C0062,P019,1,13533,10,Completed,Mobile App,Bengaluru,CAM005
O00313,2026-05-16,C0019,P017,3,11294,5,Completed,Social,Hyderabad,CAM008
O00314,2026-03-17,C0056,P013,3,12877,0,Completed,Social,Hyderabad,CAM002
